day,ua_form_factor,ua_os_version,location_city,location_region,referrer_host,referrer_url,total_visitors,total_sessions,avg_duration,total_bounce_rate,total_carts,total_checkouts
2022-03-15,,,,,,,0,0,0s,0,0,0
2022-03-18,,,,,,,0,0,0s,0,0,0
2022-04-22,Mobile,8,León,Guanajuato,m.facebook.com,m.facebook.com,1,1,0s,1,0,0
2022-04-19,Desktop,11,Council Bluffs,Iowa,,,3,3,0s,1,0,0
2022-04-22,Mobile,9,Guadalajara,Jalisco,l.facebook.com,l.facebook.com,1,1,0s,1,0,0
2022-04-29,Mobile,15,,,l.instagram.com,l.instagram.com,1,1,0s,1,0,0
2022-04-22,Mobile,10,León,Guanajuato,m.facebook.com,m.facebook.com,1,1,0s,1,0,0
2022-04-19,Desktop,10,,,www.facebook.com,www.facebook.com,1,1,0s,1,0,0
2022-04-22,Mobile,11,Guadalajara,Jalisco,lm.facebook.com,lm.facebook.com,1,1,0s,1,0,0
2022-04-28,Desktop,11,Council Bluffs,Iowa,,,3,3,0s,1,0,0
2022-04-12,Mobile,15,Mexico City,Mexico City,,,1,1,0s,1,0,0
2022-02-04,,,,,,,0,0,0s,0,0,0
2022-04-22,Mobile,15,,,m.facebook.com,m.facebook.com,1,1,0s,1,0,0
2022-03-31,Desktop,10,Cuauhtemoc,Chihuahua,albanamx.myshopify.com,albanamx.myshopify.com/collections/tote,1,1,0s,1,0,0
2022-04-22,Desktop,11,,,,,1,1,0s,1,0,0
2022-04-12,Desktop,11,Council Bluffs,Iowa,,,3,3,0s,1,0,0
2022-02-02,,,,,,,0,0,0s,0,0,0
2022-02-27,,,,,,,0,0,0s,0,0,0
2022-04-18,Mobile,14,Guadalajara,Jalisco,m.facebook.com,m.facebook.com,1,1,0s,1,0,0
2022-04-12,Desktop,,,,,,1,1,0s,1,0,0
2022-04-05,Desktop,11,,,,,2,2,0s,1,0,0
2022-04-18,Mobile,11,Morelia,Michoacán,lm.facebook.com,lm.facebook.com,1,1,19s,0,0,0
2022-04-13,Desktop,11,Council Bluffs,Iowa,,,1,1,0s,1,0,0
2022-02-19,,,,,,,0,0,0s,0,0,0
2022-03-26,,,,,,,0,0,0s,0,0,0
2022-03-30,Desktop,,Council Bluffs,Iowa,,,3,3,0s,1,0,0
2022-04-16,Other,,,,www.facebook.com,www.facebook.com,1,1,0s,1,0,0
2022-03-30,Mobile,15,Tijuana,Baja California,,,1,1,1m8s,0,0,0
2022-02-08,,,,,,,0,0,0s,0,0,0
2022-04-09,Desktop,11,,,,,1,1,0s,1,0,0
2022-04-16,Desktop,11,Council Bluffs,Iowa,,,2,2,0s,1,0,0
2022-03-10,,,,,,,0,0,0s,0,0,0
2022-02-11,,,,,,,0,0,0s,0,0,0
2022-04-15,Desktop,11,,,,,1,1,0s,1,0,0
2022-04-16,Desktop,8,,,www.facebook.com,www.facebook.com,2,2,0s,1,0,0
2022-05-02,Desktop,,Monterrey,Nuevo Leon,,,1,1,29m35s,0,0,0
2022-02-15,,,,,,,0,0,0s,0,0,0
2022-05-02,Mobile,6.0,Leon,Guanajuato,l.facebook.com,l.facebook.com,1,1,0s,1,0,0
2022-04-16,Desktop,10,,,www.facebook.com,www.facebook.com,13,13,0s,1,0,0
2022-04-16,Mobile,15,,,www.facebook.com,www.facebook.com,9,9,0s,1,0,0
2022-02-17,,,,,,,0,0,0s,0,0,0
2022-04-03,Mobile,15,León,Guanajuato,,,1,1,0s,1,0,0
2022-04-16,Mobile,15,,,m.facebook.com,m.facebook.com,6,6,0s,1,0,0
2022-03-25,,,,,,,0,0,0s,0,0,0
2022-04-07,Mobile,15,Monterrey,Nuevo León,l.instagram.com,l.instagram.com,1,1,0s,1,0,0
2022-03-11,Desktop,10,León,Guanajuato,,,4,5,11m15s,0.4,1,0
2022-04-16,Mobile,9,,,www.facebook.com,www.facebook.com,1,1,0s,1,0,0
2022-03-11,Desktop,,,,,,19,19,0s,1,0,0
2022-04-17,Desktop,10,,,l.facebook.com,l.facebook.com,1,1,0s,1,0,0
2022-02-01,,,,,,,0,0,0s,0,0,0
2022-04-16,Mobile,14,,,m.facebook.com,m.facebook.com,2,2,0s,1,0,0
2022-02-13,,,,,,,0,0,0s,0,0,0
2022-03-31,Desktop,10,,,albanamx.myshopify.com,albanamx.myshopify.com,1,1,0s,1,0,0
2022-03-16,,,,,,,0,0,0s,0,0,0
2022-03-01,Desktop,,Council Bluffs,Iowa,,,14,14,0s,1,0,0
2022-04-21,Mobile,11,Zapopan,Jalisco,lm.facebook.com,lm.facebook.com,1,1,0s,1,0,0
2022-04-17,Desktop,11,,,,,1,1,0s,1,0,0
2022-04-21,Mobile,10,Guadalajara,Jalisco,lm.facebook.com,lm.facebook.com,1,1,0s,1,0,0
2022-02-26,,,,,,,0,0,0s,0,0,0
2022-04-21,Mobile,10,Lagos de Moreno,Jalisco,lm.facebook.com,lm.facebook.com,1,1,0s,1,0,0
2022-03-04,,,,,,,0,0,0s,0,0,0
2022-04-21,Mobile,9,Tijuana,Baja California,lm.facebook.com,lm.facebook.com,1,1,0s,1,0,0
2022-03-20,,,,,,,0,0,0s,0,0,0
2022-04-20,Desktop,,Council Bluffs,Iowa,,,5,5,0s,1,0,0
2022-03-29,,,,,,,0,0,0s,0,0,0
2022-04-21,Mobile,15,León,Guanajuato,albanamx.myshopify.com,albanamx.myshopify.com/products/maddy-color-camel,1,1,0s,1,0,0
2022-04-20,Desktop,,,,,,3,3,0s,1,0,0
2022-04-21,Desktop,,Council Bluffs,Iowa,,,3,3,0s,1,0,0
2022-03-31,Mobile,15,Dolores Hidalgo Cuna de la Independencia Nacional,Guanajuato,,,1,1,0s,1,0,0
2022-04-14,Desktop,11,Council Bluffs,Iowa,,,1,1,0s,1,0,0
2022-04-20,Desktop,11,,,,,2,2,0s,1,0,0
2022-02-09,,,,,,,0,0,0s,0,0,0
2022-04-17,Mobile,8,Zapopan,Jalisco,lm.facebook.com,lm.facebook.com,1,1,0s,1,0,0
2022-03-06,,,,,,,0,0,0s,0,0,0
2022-04-27,Desktop,11,Council Bluffs,Iowa,,,2,2,0s,1,0,0
2022-03-17,,,,,,,0,0,0s,0,0,0
2022-05-01,,,,,,,0,0,0s,0,0,0
2022-04-23,Desktop,11,Council Bluffs,Iowa,,,2,2,0s,1,0,0
2022-04-04,Desktop,10,Guadalajara,Jalisco,albanamx.myshopify.com,albanamx.myshopify.com,1,1,8m55s,0,0,0
2022-04-23,Mobile,15,León,Guanajuato,albanamx.myshopify.com,albanamx.myshopify.com,1,1,0s,1,0,0
2022-04-25,Desktop,11,Council Bluffs,Iowa,,,3,3,0s,1,0,0
2022-03-14,Desktop,10,León,Guanajuato,,,2,2,6.5s,0.5,0,0
2022-02-22,,,,,,,0,0,0s,0,0,0
2022-04-08,Desktop,11,,,,,2,2,0s,1,0,0
2022-03-31,Desktop,10,,,,,1,1,16m9s,0,0,0
2022-02-05,,,,,,,0,0,0s,0,0,0
2022-03-23,,,,,,,0,0,0s,0,0,0
2022-04-13,Desktop,11,,,,,2,2,0s,1,0,0
2022-04-18,Mobile,15,León,Guanajuato,m.facebook.com,m.facebook.com,1,1,0s,1,0,0
2022-05-02,Desktop,,San Pedro Garza Garcia,Nuevo Leon,albanamx.myshopify.com,albanamx.myshopify.com/products/julie-color-cafe,1,1,1m7s,0,1,1
2022-05-02,Mobile,15.4,Leon,Guanajuato,,,1,1,36m8s,0,0,1
2022-04-21,Mobile,15,León,Guanajuato,,,1,2,3m9s,0,0,1
2022-04-20,Mobile,15,Tijuana,Baja California,,,1,1,5m10s,0,1,1
2022-04-12,Mobile,15,Palm Beach Gardens,Florida,,,1,1,1m15s,0,0,1
